"464/0089","BTVS SEASON 8 TP VOL 06 RETREAT  ",,"9.99",,,,"DARK HORSE"
"464/0090","BTVS SEASON 8 TP VOL 07 TWILIGHT   ",,"10.75",,,,"DARK HORSE"
"464/0091","BTVS SEASON 8 TP VOL 08 LAST GLEAMING  ",,"10.75",,,,"DARK HORSE"
"464/0092","BTVS SEASON 9 TP VOL 01 FREEFALL  ",,"10.99",,,,"DARK HORSE"
"464/0093","BTVS SEASON 9 TP VOL 02 ON YOUR OWN  ",,"10.99",,,,"DARK HORSE"
"464/0094","BTVS SEASON 9 TP VOL 03 GUARDED  ",,"10.99",,,,"DARK HORSE"
"464/0095","BTVS SEASON 9 TP VOL 04 WELCOME TO TEAM (O/A)  ",,"10.99",,,,"DARK HORSE"
"464/0096","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 01   ",,"15.25",,,,"DARK HORSE"
"464/0097","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 02  ",,"15.25",,,,"DARK HORSE"
"464/0098","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 03   ",,"15.25",,,,"DARK HORSE"
"464/0099","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 04  ",,"15.25",,,,"DARK HORSE"
"464/0100","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 05  ",,"15.25",,,,"DARK HORSE"
"464/0101","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 06  ",,"15.25",,,,"DARK HORSE"
"464/0102","BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 07  ",,"15.25",,,,"DARK HORSE"
"464/0103","BTVS SPIKE TP VOL 01 DARK PLACE  ",,"10.99",,,,"DARK HORSE"
"464/0104","BUFFY THE VAMPIRE SLAYER WILLOW W.LAND TP   ",,"10.99",,,,"DARK HORSE"
"464/0105","TIM BUON STAIN BOY 11 OZ HEAT SENSITIVE MUG  ",,"11.95",,,1,"DARK HORSE"
"464/0106","TIM BUON PIN CUSHION QUEEN PVC SET NEW ED  ",,"14.05",,,1,"DARK HORSE"
"464/0107","TIM BUON TOXIC BOY & STAIN PULL TAB JOURNAL  ",,"11.95",,,1,"DARK HORSE"
"464/0108","TIM BUON TOXIC BOY 11 OZ HEAT SENSITIVE MUG ",,"11.95",,,1,"DARK HORSE"
"464/0109","TIM BUON OYSTER BOY PVC SET NEW ED  ",,"14.05",,,1,"DARK HORSE"
"464/0110","TIM BUON PLAYING CARDS  ",,"3.85",,,1,"DARK HORSE"
"464/0111","TIM BUON ROBOT BOY 7.5 INCH VINYL FIGURE  ",,"22.99",,,1,"DARK HORSE"
"464/0112","TIM BUON PIN CUSHION QUEEN 9 INCH VINYL FIGURE  ",,"22.99",,,1,"DARK HORSE"
"464/0113","TIM BUON STAIN BOY PVC SET NEW ED  ",,"14.05",,,1,"DARK HORSE"
"464/0114","TIM BUON TOXIC BOY PVC NEW ED  ",,"14.05",,,1,"DARK HORSE"
"464/0115","TIM BUON STAIN BOY 5.5 INCH VINYL FIGURE  ",,"19.20",,,1,"DARK HORSE"
"464/0116","TIM BUON TOXIC BOY 7 INCH VINYL FIGURE  ",,"19.20",,,1,"DARK HORSE"
"464/0117","TIM BUON OYSTER BOY 8 INCH VINYL FIGURE  ",,"19.20",,,1,"DARK HORSE"
"464/0118","FOREVER EVIL #5 (OF 7)",,"2.65",,,,"DC COMICS"
"464/0119","FOREVER EVIL #5 (OF 7) VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0120","FOREVER EVIL #5 (OF 7) VAR 1-50 ED",,"19.99",,,,"DC COMICS"
"464/0121","FOREVER EVIL #5 (OF 7) VAR 1-100 ED",,"34.99",,,,"DC COMICS"
"464/0122","FOREVER EVIL #5 (OF 7) COMBO PACK",,"3.33",,,,"DC COMICS"
"464/0123","JUSTICE LEAGUE #27 (EVIL)",,"2.65",,,,"DC COMICS"
"464/0124","JUSTICE LEAGUE #27 VAR 1-25 ED (EVIL)",,"9.99",,,,"DC COMICS"
"464/0125","JUSTICE LEAGUE #27 COMBO PACK (EVIL)",,"3.33",,,,"DC COMICS"
"464/0126","JUSTICE LEAGUE OF AMERICA #11 (EVIL)",,"2.65",,,,"DC COMICS"
"464/0127","JUSTICE LEAGUE OF AMERICA #11 VAR 1-25 (EVIL)",,"9.99",,,,"DC COMICS"
"464/0128","JUSTICE LEAGUE OF AMERICA #11 BLANK VAR ED",,"2.65",,,,"DC COMICS"
"464/0129","JUSTICE LEAGUE OF AMERICA #11 COMBO (EVIL)",,"3.33",,,,"DC COMICS"
"464/0130","TRINITY OF SIN THE PHANTOM STRANGER #15 (EVIL)",,"1.99",,,,"DC COMICS"
"464/0131","CONSTANTINE #10 (EVIL)",,"1.99",,,,"DC COMICS"
"464/0132","TRINITY OF SIN PANDORA #7 (EVIL)",,"1.99",,,,"DC COMICS"
"464/0133","JUSTICE LEAGUE DARK #27 (EVIL)",,"2.65",,,,"DC COMICS"
"464/0134","JUSTICE LEAGUE DARK #27 VAR 1-25 ED (EVIL)",,"9.99",,,,"DC COMICS"
"464/0135","FOREVER EVIL ARGUS #4 (OF 6)",,"1.99",,,,"DC COMICS"
"464/0136","FOREVER EVIL ARGUS #4 (OF 6) VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0137","FOREVER EVIL ARKHAM WAR #4 (OF 6)",,"1.99",,,,"DC COMICS"
"464/0138","FOREVER EVIL ARKHAM WAR #4 (OF 6) VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0139","FOREVER EVIL ROGUES REBELLION #4 (OF 6)",,"1.99",,,,"DC COMICS"
"464/0140","FOREVER EVIL ROGUES REB. #4 (OF 6) VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0141","SUICIDE SQUAD #27 (EVIL)",,"1.99",,,,"DC COMICS"
"464/0142","AQUAMAN #27",,"1.99",,,,"DC COMICS"
"464/0143","AQUAMAN #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0144","FLASH #27",,"1.99",,,,"DC COMICS"
"464/0145","FLASH #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0146","GREEN ARROW #27",,"1.99",,,,"DC COMICS"
"464/0147","JUSTICE LEAGUE 3000 #2",,"1.99",,,,"DC COMICS"
"464/0148","WONDER WOMAN #27",,"1.99",,,,"DC COMICS"
"464/0149","WONDER WOMAN #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0150","EAH 2 #19",,"1.99",,,,"DC COMICS"
"464/0151","EAH 2 #19 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0152","EAH 2 ANNUAL #2",,"3.33",,,,"DC COMICS"
"464/0153","WORLDS FINEST #19",,"1.99",,,,"DC COMICS"
"464/0154","WORLDS FINEST ANNUAL #1",,"3.33",,,,"DC COMICS"
"464/0155","SUPERMAN WONDER WOMAN #4",,"2.65",,,,"DC COMICS"
"464/0156","SUPERMAN WONDER WOMAN #4 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0157","SUPERMAN WONDER WOMAN #4 COMBO PACK",,"3.33",,,,"DC COMICS"
"464/0158","ACTION COMICS #27",,"2.65",,,,"DC COMICS"
"464/0159","ACTION COMICS #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0160","SUPERMAN #27",,"1.99",,,,"DC COMICS"
"464/0161","SUPERMAN #27 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0162","SUPERBOY #27",,"1.99",,,,"DC COMICS"
"464/0163","SUPERGIRL #27",,"1.99",,,,"DC COMICS"
"464/0164","BATMAN SUPERMAN #7",,"2.65",,,,"DC COMICS"
"464/0165","BATMAN SUPERMAN #7 VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0166","BATMAN SUPERMAN #7 COMBO PACK",,"3.33",,,,"DC COMICS"
"464/0167","BATMAN SUPERMAN ANNUAL #1",,"3.99",,,,"DC COMICS"
"464/0168","DAMIAN SON OF BATMAN #4 (OF 4)",,"2.65",,,,"DC COMICS"
"464/0169","DAMIAN SON OF BATMAN #4 (OF 4) VAR 1-25 ED",,"9.99",,,,"DC COMICS"
"464/0170","DAMIAN SON OF BATMAN #4 (OF 4) B & W VAR 1-100",,"34.99",,,,"DC COMICS"
"464/0171","HARLEY QUINN #2",,"1.99",,,,"DC COMICS"
"464/0172","BATMAN #27 (ZERO YEAR)",,"2.65",,,,"DC COMICS"
"464/0173","BATMAN #27 VAR 1-25 ED (ZERO YEAR)",,"9.99",,,,"DC COMICS"
"464/0174","BATMAN #27 COMBO PACK (ZERO YEAR)",,"3.33",,,,"DC COMICS"
